文件,用例名,作用/设计原因,所属层级/维度,marker,是否等账号
test_cmdb_core.py,test_分页参数_构造正确,make_page：默认 0 起点、10 条；传 sort 才带排序字段。,CMDB链路,unit,否
test_cmdb_core.py,test_客户端_未配置时业务ID为空,CMDB 客户端复用 job_config 配置；未配置时 biz_id 为 None，,CMDB链路,unit,否
test_cmdb_core.py,test_客户端_构造参数可覆盖配置,传参优先级：显式传参 > job_config。压测/多环境切换靠这个。,CMDB链路,unit,否
test_cmdb_core.py,test_查业务_列表非空且含当前业务,对应手动步骤：CMDB 首页业务列表。,CMDB链路,-,是
test_cmdb_core.py,test_查主机_当前业务主机列表非空,对应手动步骤：业务 → 主机页面。,CMDB链路,-,是
test_cmdb_core.py,test_查主机详情_按ID能查到,对应手动步骤：主机详情页。按 host_id 条件查询应返回该主机。,CMDB链路,-,是
test_cmdb_core.py,test_查拓扑_集群和模块结构完整,对应手动步骤：业务拓扑页（集群→模块两层树）。,CMDB链路,-,是
test_cmdb_core.py,test_查模型属性_host模型字段字典非空,对应手动步骤：模型管理 → 主机模型字段。,CMDB链路,-,是
test_integration.py,test_契约_JOB业务ID在CMDB业务列表里,JOB 的 bk_scope_id 就是 CMDB 的 bk_biz_id，两边必须对得上。,L3连块测·数据契约,-,是
test_integration.py,test_契约_JOB目标主机在CMDB主机列表里,JOB 的 host_id 就是 CMDB 的 bk_host_id，主机数据同源。,L3连块测·数据契约,-,是
test_integration.py,test_契约_动态分组圈出的主机合法,动态分组执行结果非空，且圈出的主机在当前业务主机列表里。,L3连块测·数据契约,-,是
test_integration.py,test_联动_CMDB圈主机JOB执行成功,业务闭环：CMDB 圈人 → JOB 干活。,L3连块测·数据契约,-,是
test_integration.py,test_联动_引用动态分组ID直接执行成功,业务闭环（分组直引版）：JOB 侧只传动态分组 ID，不传主机清单。,L3连块测·数据契约,-,是
test_integration.py,test_联动_分组执行完成且日志正确,端到端全链路：分组圈的主机执行脚本 → 状态成功。,L3连块测·数据契约,-,是
test_integration.py,test_反向_CMDB不存在的主机JOB执行被拒,跨系统边界：CMDB 查不到的主机 ID，JOB 必须拒绝执行。,L3连块测·数据契约,-,是
test_integration.py,test_反向_动态分组ID不存在JOB执行被拒,"跨系统契约：不存在的动态分组 ID，JOB 应报""查无此分组""。",L3连块测·数据契约,-,是
test_job_account.py,test_建Linux账号_列表能查到,对应手动步骤：新建 Linux 系统账号 → 账号列表里能看到。,JOB链路5·账号+高危,-,是
test_job_account.py,test_建Windows账号_不传密码被拒,负面用例：Windows 账号必须传密码（坑位实测）。,JOB链路5·账号+高危,-,是
test_job_account.py,test_删除账号_列表消失,对应手动步骤：删除账号 → 列表里查不到。,JOB链路5·账号+高危,-,是
test_job_account.py,test_高危检测_危险命令命中,对应手动步骤：脚本内容里写了危险命令 → 检测有命中项。,JOB链路5·账号+高危,-,是
test_job_account.py,test_自定义高危规则_启用后检测命中,对应手动步骤：建规则 → 启用 → 用含该命令的脚本做检测 → 命中。,JOB链路5·账号+高危,-,是
test_job_account.py,test_高危规则_停用后不再命中,对应手动步骤：停用规则 → 检测不再命中（规则生命周期验证）。,JOB链路5·账号+高危,-,是
test_job_account.py,test_高危规则列表_能查到自建规则,对应手动步骤：高危规则页 → 规则列表里能看到自建规则。,JOB链路5·账号+高危,-,是
test_job_boundary.py,test_Base64_各种内容往返一致 ×6,边界内容编码再解码必须等于原文（空串、中文、特殊字符、长串）。,专项·参数边界,unit,否
test_job_boundary.py,test_target_server_四种指定方式可组合,四种主机指定方式可以单独传，也可以组合传（服务端取并集）。,专项·参数边界,unit,否
test_job_boundary.py,test_target_server_全空返回空字典,什么都不传返回空字典，调用方自己决定要不要传 target_server。,专项·参数边界,unit,否
test_job_boundary.py,test_快速执行_内容自动Base64且互斥字段只传一个,传 script_content 时：内容被 Base64、语言自动带、script_id 不出现。,专项·参数边界,unit,否
test_job_boundary.py,test_快速执行_传版本ID时内容被忽略,优先级契约：script_version_id 优先级最高，content 不参与。,专项·参数边界,unit,否
test_job_boundary.py,test_快速执行_超时0也能传出去,坑位回归：timeout=0 是非法值，但必须能传给服务端让它拒绝。,专项·参数边界,unit,否
